Timestamp,Packet Type,Channel,Message Type,MMSI,Navigation Status,Repeat Indicator,IMO,ROT,SOG,COG,Position Accuracy,Longitude,Latitude,Region,Vessel name,Ship type,True Heading,Radio status,Destination,Maneuver Indicator,Draught,Position fix type,Call sign,ETA,A,B,C,D,Prop message 1,Prop message 2,Prop message 3,Prop message 4,Prop message 5
19:22.0,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.5,1722,>10m,152.1209367,-10.16023,QH69,NaN,Not available (default),170,67448,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:23.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
19:31.2,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.1353817,-10.59329833,QH69,NaN,Not available (default),,81924,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:13,0,0,0,0,,,,,
19:31.4,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1721,>10m,152.121015,-10.15963,QH69,NaN,Not available (default),170,65551,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:31.6,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3500,>10m,152.1143467,-10.51691333,QH69,NaN,Not available (default),351,20024,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:33.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
19:40.9,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.5,1718,>10m,152.1210967,-10.15910333,QH69,NaN,Not available (default),170,2306,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:41.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.1353817,-10.593295,QH69,NaN,Not available (default),,81924,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:14,0,0,0,0,,,,,
19:43.2,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3504,>10m,152.11425,-10.51752833,QH69,NaN,Not available (default),351,114699,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:43.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
19:51.2,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1718,>10m,152.1211783,-10.15852667,QH69,NaN,Not available (default),170,49157,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:51.3,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.1353833,-10.593295,QH69,NaN,Not available (default),,81924,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:14,0,0,0,0,,,,,
19:51.3,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3505,>10m,152.1141833,-10.51794167,QH69,NaN,Not available (default),350,33529,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:52.5,BSADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,STX564855481005,71420,V,0,I
19:53.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
20:01.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.135385,-10.59329333,QH69,NaN,Not available (default),,81924,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:14,0,0,0,0,,,,,
20:01.5,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.5,1721,>10m,152.1212783,-10.15784667,QH69,NaN,Not available (default),170,99447,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:01.8,BSVDM,A,1,538009733,Underway using engine,0,0,248,16.5,1399,>10m,151.99871,-11.21010667,QH58,NaN,Not available (default),139,2218,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:02.6,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3501,>10m,152.11408,-10.51852667,QH69,NaN,Not available (default),350,66721,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:03.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
20:11.0,BSVDM,B,5,431697000,NaN,0,9675626,,,NaN,NaN,0,0,NaN,ARCADIA SALUTE      ,"Cargo, all ships of this type",,0,NaN,Not available (default),13.7,GPS,7KKM   ,,202,33,13,25,,,,,
20:11.0,BSVDM,B,8,545392672,NaN,0,0,,,NaN,NaN,0,0,NaN,NaN,Not available (default),,0,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:11.2,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.1353867,-10.59329167,QH69,NaN,Not available (default),,81924,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:14,0,0,0,0,,,,,
20:11.3,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1719,>10m,152.1213517,-10.157355,QH69,NaN,Not available (default),170,81925,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:12.8,BSVDM,A,3,431697000,Underway using engine,0,0,0,11.3,3500,>10m,152.1139817,-10.51910333,QH69,NaN,Not available (default),350,83869,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:13.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
20:21.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.13539,-10.59329333,QH69,NaN,Not available (default),,81924,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:14,0,0,0,0,,,,,
20:21.7,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3505,>10m,152.1139117,-10.51957833,QH69,NaN,Not available (default),350,114699,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:22.0,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.5,1719,>10m,152.121445,-10.15673333,QH69,NaN,Not available (default),170,49157,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:23.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
20:31.2,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.13539,-10.59329333,QH69,NaN,Not available (default),,65546,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:14,0,0,0,0,,,,,
20:31.4,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1721,>10m,152.1215083,-10.15621,QH69,NaN,Not available (default),170,49157,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:31.6,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3501,>10m,152.1138217,-10.52009667,QH69,NaN,Not available (default),350,2239,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:33.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
20:41.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.13539,-10.59329167,QH69,NaN,Not available (default),,65921,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:15,0,0,0,0,,,,,
20:42.4,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.5,1724,>10m,152.1215883,-10.15558333,QH69,NaN,Not available (default),170,81925,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:43.2,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3499,>10m,152.1137233,-10.52065833,QH69,NaN,Not available (default),350,98761,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:43.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
20:44.5,PSTXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,STXAIS,7004002,BS6XX 2.00.07,4742355,0x0
20:51.2,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1721,>10m,152.121655,-10.15506333,QH69,NaN,Not available (default),170,33526,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:51.3,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.13539,-10.59329167,QH69,NaN,Not available (default),,66296,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:15,0,0,0,0,,,,,
20:51.3,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3501,>10m,152.113655,-10.521065,QH69,NaN,Not available (default),350,20028,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
20:52.5,BSADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,STX564855481005,71520,V,0,I
20:53.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
20:57.7,BSVDM,A,5,353246000,NaN,0,9875276,,,NaN,NaN,0,0,NaN,ORCHID TIGER        ,"Cargo, all ships of this type",,0,NaN,Not available (default),7,GPS,3FLV7  ,,164,26,11,21,,,,,
20:57.7,BSVDM,A,8,545392672,NaN,0,0,,,NaN,NaN,0,0,NaN,NaN,Not available (default),,0,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:01.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.1353883,-10.59329,QH69,NaN,Not available (default),,66671,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:15,0,0,0,0,,,,,
21:01.5,BSVDM,B,3,353246000,Underway using engine,0,0,0,12.5,1727,>10m,152.121725,-10.15447167,QH69,NaN,Not available (default),170,82621,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:02.6,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3500,>10m,152.1135533,-10.52163667,QH69,NaN,Not available (default),350,49163,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:03.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
21:11.2,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.1353867,-10.59328833,QH69,NaN,Not available (default),,67046,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:15,0,0,0,0,,,,,
21:11.3,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1731,>10m,152.1217967,-10.15388,QH69,NaN,Not available (default),170,67048,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:12.8,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3495,>10m,152.1134517,-10.52215333,QH69,NaN,Not available (default),351,20028,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:13.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
21:21.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.1353867,-10.59328667,QH69,NaN,Not available (default),,67421,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:15,0,0,0,0,,,,,
21:21.7,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3497,>10m,152.113375,-10.52261,QH69,NaN,Not available (default),351,100205,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:22.0,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.5,1730,>10m,152.1218683,-10.15332833,QH69,NaN,Not available (default),170,34680,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:23.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
21:31.2,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.1353833,-10.59329,QH69,NaN,Not available (default),,49156,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:15,0,0,0,0,,,,,
21:31.3,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3499,>10m,152.113285,-10.52312333,QH69,NaN,Not available (default),351,81931,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:31.4,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1727,>10m,152.1219383,-10.152775,QH69,NaN,Not available (default),170,32783,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:33.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
21:41.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.1353817,-10.59329,QH69,NaN,Not available (default),,49156,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:16,0,0,0,0,,,,,
21:42.4,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.5,1729,>10m,152.1220217,-10.15211,QH69,NaN,Not available (default),170,65963,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:43.2,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3499,>10m,152.1131867,-10.52369167,QH69,NaN,Not available (default),350,81931,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:43.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
21:43.8,BSVDM,B,1,538009733,Underway using engine,0,0,1,16.5,1388,>10m,152.0038717,-11.20416,QH68,NaN,Not available (default),139,49160,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:51.2,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1728,>10m,152.122085,-10.151595,QH69,NaN,Not available (default),170,20032,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:51.3,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.1353817,-10.59329167,QH69,NaN,Not available (default),,49156,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:16,0,0,0,0,,,,,
21:51.3,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3498,>10m,152.1131067,-10.524155,QH69,NaN,Not available (default),351,2261,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
21:52.5,BSADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,STX564855481005,71620,V,0,I
21:53.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
22:01.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.135385,-10.59329167,QH69,NaN,Not available (default),,49156,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:16,0,0,0,0,,,,,
22:01.5,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.5,1729,>10m,152.1221517,-10.15102667,QH69,NaN,Not available (default),170,66679,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
22:02.6,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3499,>10m,152.1130017,-10.52477167,QH69,NaN,Not available (default),351,33953,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
22:03.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
22:11.2,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.1353867,-10.593295,QH69,NaN,Not available (default),,49156,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:16,0,0,0,0,,,,,
22:11.3,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.4,1728,>10m,152.1222383,-10.150455,QH69,NaN,Not available (default),170,49157,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
22:12.8,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3505,>10m,152.112925,-10.52529,QH69,NaN,Not available (default),350,2211,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
22:13.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
22:21.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.13539,-10.59329833,QH69,NaN,Not available (default),,49156,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:16,0,0,0,0,,,,,
22:21.7,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3509,>10m,152.1128567,-10.52575833,QH69,NaN,Not available (default),350,81932,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
22:22.0,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.5,1730,>10m,152.122325,-10.14982,QH69,NaN,Not available (default),170,20032,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
22:23.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
22:31.0,BSVDM,B,1,538009733,Underway using engine,0,0,0,16.5,1388,>10m,152.0062833,-11.201435,QH68,NaN,Not available (default),139,81927,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
22:31.2,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.1353933,-10.5933,QH69,NaN,Not available (default),,32778,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:16,0,0,0,0,,,,,
22:31.3,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3512,>10m,152.112785,-10.52622333,QH69,NaN,Not available (default),350,65548,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
22:31.4,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1730,>10m,152.12239,-10.149295,QH69,NaN,Not available (default),170,20036,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
22:33.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
